BookYear,JulianDay,DaysSept1,DateFull,Weightkg
2022,32,174,2/1/23,3.1
2022,32,174,2/1/23,2.8
2022,32,174,2/1/23,2.5
2022,32,174,2/1/23,2.7
2022,32,174,2/1/23,3.35
2022,32,174,2/1/23,2.95
2022,32,174,2/1/23,2.9
2019,33,175,2/2/20,3.6
2019,33,175,2/2/20,2.15
2019,33,175,2/2/20,3.1
2019,33,175,2/2/20,2.35
2019,33,175,2/2/20,3.05
2019,33,175,2/2/20,2.4
2021,34,176,2/3/22,3.3
2021,34,176,2/3/22,2.5
2021,34,176,2/3/22,2.75
2021,34,176,2/3/22,2.75
2021,34,176,2/3/22,2.75
2021,34,176,2/3/22,2.8
2021,34,176,2/3/22,3.35
2021,34,176,2/3/22,3.65
2021,34,176,2/3/22,3.15
2021,34,176,2/3/22,3
2015,35,177,2/4/16,2.95
2015,35,177,2/4/16,3.55
2015,35,177,2/4/16,3.15
2015,35,177,2/4/16,3.15
2015,35,177,2/4/16,3.2
2015,35,177,2/4/16,3.2
2015,35,177,2/4/16,3.55
2015,35,177,2/4/16,2.9
2015,35,177,2/4/16,3.05
2015,35,177,2/4/16,3.35
2015,36,178,2/5/16,3.45
2015,36,178,2/5/16,3
2015,36,178,2/5/16,2.75
2015,36,178,2/5/16,3.1
2015,36,178,2/5/16,3.05
2015,36,178,2/5/16,3.6
2015,36,178,2/5/16,3.5
2015,36,178,2/5/16,3.05
2015,36,178,2/5/16,3.45
2015,36,178,2/5/16,2.85
2006,37,179,2/6/07,2.675
2006,37,179,2/6/07,2.875
2006,37,179,2/6/07,2.375
2006,37,179,2/6/07,3
2006,37,179,2/6/07,3.25
2006,37,179,2/6/07,2.325
2006,37,179,2/6/07,2.375
2006,37,179,2/6/07,2.725
2006,37,179,2/6/07,2.575
2006,37,179,2/6/07,2.95
2006,37,179,2/6/07,2.625
2006,37,179,2/6/07,2.9
2006,37,179,2/6/07,3.25
2006,37,179,2/6/07,3.65
2006,39,181,2/8/07,2.525
2006,39,181,2/8/07,2.025
2006,39,181,2/8/07,2.8
2006,39,181,2/8/07,2.825
2006,39,181,2/8/07,2.825
2006,39,181,2/8/07,3.3
2006,39,181,2/8/07,2.825
2006,39,181,2/8/07,2.45
2012,39,181,2/8/13,2.95
2012,39,181,2/8/13,2.24
2012,39,181,2/8/13,3.1
2012,39,181,2/8/13,2.9
2012,39,181,2/8/13,3.3
2012,39,181,2/8/13,2.5
2012,39,181,2/8/13,2.6
2012,39,181,2/8/13,3.1
2012,39,181,2/8/13,3.75
2012,39,181,2/8/13,2.3
2012,39,181,2/8/13,2.32
2012,39,181,2/8/13,3.85
2012,39,181,2/8/13,2.7
2012,39,181,2/8/13,3.15
2012,39,181,2/8/13,3.15
2012,39,181,2/8/13,2.75
2012,39,181,2/8/13,3.1
2012,40,182,2/9/13,2.8
2012,40,182,2/9/13,3.9
2012,40,182,2/9/13,3.35
2012,40,182,2/9/13,2.12
2012,40,182,2/9/13,2.55
2012,40,182,2/9/13,2.8
2012,40,182,2/9/13,3
2012,40,182,2/9/13,3
2012,40,182,2/9/13,2.5
2012,40,182,2/9/13,2.75
2012,40,182,2/9/13,2.65
2012,40,182,2/9/13,3.25
2012,40,182,2/9/13,3.7
2007,41,183,2/10/08,2.45
2007,41,183,2/10/08,2.825
2007,41,183,2/10/08,2.925
2007,41,183,2/10/08,2.675
2007,41,183,2/10/08,2.75
2007,41,183,2/10/08,2.8
2007,41,183,2/10/08,3.45
2007,41,183,2/10/08,3.1
2007,41,183,2/10/08,2.025
2007,41,183,2/10/08,2.425
2007,41,183,2/10/08,2.725
2007,41,183,2/10/08,2.7
2007,41,183,2/10/08,2.575
2007,41,183,2/10/08,3.3
2007,41,183,2/10/08,2.8
2007,41,183,2/10/08,3.15
2007,41,183,2/10/08,2.575
2007,41,183,2/10/08,2.675
2007,41,183,2/10/08,2.575
2008,41,183,2/10/09,2.65
2008,41,183,2/10/09,2.375
2008,41,183,2/10/09,3.3
2008,41,183,2/10/09,2.75
2008,41,183,2/10/09,2.225
2008,41,183,2/10/09,2.7
2008,41,183,2/10/09,2.35
2008,41,183,2/10/09,3.4
2008,41,183,2/10/09,2.6
2008,41,183,2/10/09,2.5
2008,41,183,2/10/09,3
2009,41,183,2/10/10,2.2
2009,41,183,2/10/10,2.08
2009,41,183,2/10/10,2
2009,41,183,2/10/10,2.85
2009,41,183,2/10/10,2.88
2009,41,183,2/10/10,3.05
2009,41,183,2/10/10,2.45
2009,41,183,2/10/10,3.2
2009,41,183,2/10/10,2.4
2009,41,183,2/10/10,3.2
2009,41,183,2/10/10,2.4
2009,41,183,2/10/10,2.15
2009,41,183,2/10/10,2.23
2009,41,183,2/10/10,3
2009,41,183,2/10/10,2.77
2009,41,183,2/10/10,2.05
2009,41,183,2/10/10,2.42
2009,41,183,2/10/10,2.67
2009,41,183,2/10/10,2
2010,41,183,2/10/11,3.2
2010,41,183,2/10/11,2.3
2010,41,183,2/10/11,2.05
2010,41,183,2/10/11,2.15
2010,41,183,2/10/11,2.575
2010,41,183,2/10/11,2.325
2010,41,183,2/10/11,3.15
2010,41,183,2/10/11,2.075
2010,41,183,2/10/11,3.25
2010,41,183,2/10/11,2.625
2010,41,183,2/10/11,2.65
2010,41,183,2/10/11,3.05
2010,41,183,2/10/11,2.625
2010,41,183,2/10/11,2.7
2010,41,183,2/10/11,2.175
2010,41,183,2/10/11,3.1
2010,41,183,2/10/11,2.35
2010,41,183,2/10/11,2.3
2010,41,183,2/10/11,2.475
2010,41,183,2/10/11,3
2010,41,183,2/10/11,3.1
2010,41,183,2/10/11,3.2
2010,41,183,2/10/11,2.85
2010,41,183,2/10/11,2.7
2010,41,183,2/10/11,2.6
2013,41,183,2/10/14,2.85
2013,41,183,2/10/14,3.2
2013,41,183,2/10/14,1.63
2013,41,183,2/10/14,2.75
2013,41,183,2/10/14,3
2013,41,183,2/10/14,3.2
2013,41,183,2/10/14,2.45
2013,41,183,2/10/14,2.1
2013,41,183,2/10/14,3.1
2013,41,183,2/10/14,2.65
2016,41,183,2/10/17,3.45
2016,41,183,2/10/17,3.75
2016,41,183,2/10/17,3.45
2016,41,183,2/10/17,2.75
2016,41,183,2/10/17,2.5
2016,41,183,2/10/17,2.4
2016,41,183,2/10/17,2.225
